Temperature,Molar Flow CO2 Initial,Molar Flow H2 Initial,Total Initial Molar Flow Rate,Conversion CO2,Volumetric Flow
543.15,0.005364,0.02682,5.36E-01,0.19398986,216.12
543.15,0.005364,0.05364,5.36E-01,0.25606644,216.12
543.15,0.005364,0.10728,5.36E-01,0.31417783,216.12
543.15,0.01341,0.05364,5.36E-01,0.12461574,216.12
543.15,0.01341,0.08046,5.36E-01,0.14698949,216.12
543.15,0.01341,0.10728,5.36E-01,0.16394118,216.12
543.15,0.021456,0.085824,5.36E-01,0.10385018,216.12
543.15,0.021456,0.10728,5.36E-01,0.11136349,216.12
573.15,0.005364,0.02682,5.36E-01,0.36308552,216.12
573.15,0.005364,0.05364,5.36E-01,0.50690567,216.12
573.15,0.01341,0.05364,5.36E-01,0.25579255,216.12
573.15,0.01341,0.08046,5.36E-01,0.30934524,216.12
573.15,0.01341,0.10728,5.36E-01,0.34737051,216.12
573.15,0.021456,0.085824,5.36E-01,0.22090344,216.12
573.15,0.021456,0.10728,5.36E-01,0.2468455,216.12
