Temperature,Molar Flow CO2 Initial,Molar Flow H2 Initial,Total Initial Molar Flow Rate,Conversion CO2,Volumetric Flow
558.15,0.005364,0.02682,5.36E-01,0.253127917,216.12
558.15,0.005364,0.05364,5.36E-01,0.346696069,216.12
558.15,0.005364,0.10728,5.36E-01,0.424741564,216.12
558.15,0.01341,0.05364,5.36E-01,0.173864934,216.12
558.15,0.01341,0.08046,5.36E-01,0.203809378,216.12
558.15,0.01341,0.10728,5.36E-01,0.227978423,216.12
558.15,0.021456,0.085824,5.36E-01,0.14748938,216.12
558.15,0.021456,0.10728,5.36E-01,0.158857632,216.12
573.15,0.005364,0.02682,5.36E-01,0.36308552,216.12
573.15,0.005364,0.05364,5.36E-01,0.50690567,216.12
573.15,0.005364,0.10728,5.36E-01,0.59517524,216.12
573.15,0.01341,0.05364,5.36E-01,0.25579255,216.12
573.15,0.01341,0.08046,5.36E-01,0.30934524,216.12
573.15,0.01341,0.10728,5.36E-01,0.34737051,216.12
573.15,0.021456,0.085824,5.36E-01,0.22090344,216.12
573.15,0.021456,0.10728,5.36E-01,0.2468455,216.12
598.15,0.005364,0.02682,5.36E-01,0.449536048,216.12
598.15,0.005364,0.05364,5.36E-01,0.64353157,216.12
598.15,0.005364,0.10728,5.36E-01,0.726990814,216.12
598.15,0.01341,0.05364,5.36E-01,0.360776357,216.12
598.15,0.01341,0.08046,5.36E-01,0.456489072,216.12
598.15,0.01341,0.10728,5.36E-01,0.520682138,216.12
598.15,0.021456,0.085824,5.36E-01,0.338366713,216.12
598.15,0.021456,0.10728,5.36E-01,0.389645314,216.12
